599616018545697034,-63,44,-973,0,0
599616018722213146,-69,44,-1014,0,0
599616018898668202,-14,-29,-978,0,0
599616019075184334,-17,58,-1018,0,0
599616019251669918,-31,52,-1013,0,0
599616019428186040,-8,40,-979,0,0
599616019604641096,-13,64,-1015,0,0
599616019781187756,87,5,-1040,0,0
599616019957703858,82,-44,-1009,0,0
599616020134128422,47,-85,-1011,0,0
599616020310583472,95,-22,-981,0,0
599616020486977528,-91,7,-1012,0,0
599616020663341040,-146,130,-1012,0,0
599616020839704562,-133,44,-986,0,0
599616021016098612,-131,137,-973,75,0
599616021192523180,-56,99,-1001,75,0
599616021369039286,-120,63,-991,75,0
599616021545555398,-107,81,-1015,75,0
599616021722102038,-100,71,-1007,75,0
599616021898618140,-42,125,-1005,75,0
599616022075164780,-27,161,-978,76,0
599616022251711410,-11,144,-981,76,0
599616022428258040,9,115,-976,76,0
599616022604774142,-68,59,-1011,76,0
599616022781320782,51,28,-1028,76,0
599616022957836884,-9,58,-1003,76,0
599616023134444544,48,48,-907,79,0
599616023310899606,-14,50,-975,79,0
599616023487354682,68,17,-937,79,0
599616023663840286,28,-200,-1019,79,0
599616023840356408,193,-103,-1032,79,0
599616024016750444,220,-56,-950,80,0
599616024193175012,48,-22,-1086,80,0
599616024369569042,-37,-24,-1112,80,0
599616024546024102,-104,-61,-911,80,0
599616024722540234,17,23,-1022,80,0
599616024899086874,-70,51,-1015,80,0
599616025075572448,23,-38,-1154,82,0
599616025252058042,140,-94,-1052,82,0
599616025428574164,115,-43,-908,82,0
599616025605090276,147,62,-970,82,0
599616025781697936,-102,-93,-1036,82,0
599616025958152998,-125,-29,-888,82,0
599616026134730150,-76,103,-918,83,0
599616026311307298,-74,38,-1523,83,0
599616026487884446,236,-177,-730,83,0
599616026664461594,172,-63,-905,83,0
599616026840977722,104,18,-917,83,0
599616027017524362,46,-1,-1050,86,0
599616027194132012,-141,-51,-907,86,0
599616027370678658,-217,-42,-952,86,0
599616027547255780,-244,-103,-858,86,0
599616027723802436,101,-179,-1044,86,0
599616027900349066,193,-169,-849,86,0
599616028076956716,183,-470,-642,87,0
599616028253655930,61,-688,-730,87,0
599616028430294130,123,-959,-659,87,0
599616028606810238,306,-1161,-515,87,0
599616028783356878,583,-968,-606,87,0
599616028959872980,383,-831,-657,87,0
599616029136389092,87,-488,-483,89,0
599616029312874676,336,-693,-566,89,0
599616029489451818,345,-1023,-1141,89,0
599616029665937418,49,-573,-783,89,0
599616029842514560,16,189,-512,89,0
599616030019183256,-123,242,-1270,89,1
599616030195790938,-26,-7,-1032,89,1
599616030372398604,-94,65,-790,89,1
599616030548975742,105,192,-743,89,1
599616030725491870,-78,-348,-823,89,1
599616030902038510,-351,-993,-961,89,1
599616031078585140,-450,-963,-1240,89,1
599616031255162262,-223,-668,-782,89,1
599616031431708918,-153,9,-521,89,1
599616031608255548,-13,167,-1032,89,2
599616031784832670,-142,34,-795,89,2
599616031961379326,-27,118,-880,89,2
599616032137864900,-2,142,-827,89,2
599616032314319966,-130,-32,-749,89,2
599616032490775042,-1,-816,-877,89,2
599616032667199626,203,-1082,-1094,89,2
599616032843776752,253,-813,-1002,89,2
599616033020323408,-34,-168,-714,88,2
599616033196931058,49,259,-573,88,3
599616033373569252,-134,179,-852,88,3
599616033550024304,-4,-8,-1021,88,3
599616033726540436,-180,181,-939,88,3
599616033902965000,133,180,-909,88,3
599616034079389558,-207,-540,-881,88,3
599616034255844608,-392,-958,-969,88,3
599616034432299684,-465,-1051,-1146,88,3
599616034608785288,-159,-867,-787,88,3
599616034785240354,17,189,-293,88,3
599616034961756486,-89,222,-1454,88,4
599616035138181050,-11,79,-958,88,4
599616035314636100,-4,144,-907,88,4
599616035491152232,33,187,-783,88,4
599616035667668344,-116,-68,-753,88,4
599616035844092908,43,-781,-904,88,4
599616036020547958,230,-1045,-1076,88,4
599616036197094618,447,-884,-1069,88,4
599616036373610720,-263,-255,-517,88,4
599616036550157360,-57,388,-538,88,5
599616036726642934,79,336,-915,88,5
599616036903098000,-21,170,-1011,88,5
599616037079614132,-23,231,-883,90,5
599616037256099716,127,186,-828,90,5
599616037432615838,-48,-471,-835,90,5
599616037609070894,-274,-1012,-874,90,5
599616037785525970,-398,-1047,-1131,90,5
599616037961889498,-312,-793,-647,90,5
599616038138344568,-120,14,-466,91,5
599616038314769152,7,181,-837,91,6
599616038491376806,-64,104,-687,91,6
599616038667953944,-15,178,-801,91,6
599616038844439544,138,303,-775,91,6
599616039020925138,-91,-43,-726,93,6
599616039197410732,10,-690,-841,93,6
599616039373865798,126,-1026,-945,93,6
599616039550351402,333,-1043,-1063,93,6
599616039726898052,-53,-546,-907,93,6
599616039903292078,-124,191,-353,93,6
599616040079777666,48,352,-716,99,7
599616040256202240,75,121,-1212,99,7
599616040432626798,-120,177,-833,99,7
599616040609051356,155,191,-901,99,7
599616040785445386,-5,-335,-865,99,7
599616040961930974,-173,-830,-782,99,7
599616041138386040,-310,-1052,-1142,101,7
599616041314841116,-277,-815,-715,101,7
